id,codigo_producto,descripcion_anterior,descripcion_nueva,stock_anterior,stock_nuevo,fecha,source_table,rut,nombre,apellido,telefono,email,rut_cliente,Cliente,Compras,numero_factura,cod_producto,valor_producto,cantidad,rut_proveedor,fecha_suministro,codigo,descripcion,stock,valor,CodigoProducto,Producto,Total,TotalIngresos,Mes,Año,Descripcion,TotalUnidadesVendidas,razon_social,direccion,RutProveedor,RazonSocial,id_suministra,rut_vendedor,Vendedor
,,,,,,2024-01-10,facturas.csv,23456789-2,,,,,34567890-1,,,13.0,INSUMO003,10.75,3.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-11-01,facturas.csv,23456789-2,,,,,45678901-2,,,14.0,INSUMO004,120.0,5.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-09-26,facturas.csv,34567890-3,,,,,56789012-3,,,15.0,INSUMO002,25.0,1.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-07-15,facturas.csv,34567890-3,,,,,56789012-3,,,16.0,INSUMO005,5.0,1.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-04-09,facturas.csv,34567890-3,,,,,56789012-3,,,17.0,INSUMO005,5.0,1.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-04-03,facturas.csv,34567890-3,,,,,67890123-4,,,18.0,INSUMO006,1.5,4.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-03-30,facturas.csv,45678901-4,,,,,78901234-5,,,19.0,INSUMO007,350.0,2.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,2022-08-12,facturas.csv,45678901-4,,,,,89012345-6,,,20.0,INSUMO008,175.5,3.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,2022-06-14,facturas.csv,56789012-5,,,,,90123456-7,,,21.0,INSUMO009,90.0,6.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,2022-06-10,facturas.csv,67890123-6,,,,,01234567-8,,,22.0,INSUMO010,600.0,1.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,2024-12-14,facturas.csv,12345678-1,,,,,01234567-8,,,23.0,INSUMO002,25.0,20.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,insumos_recibidos_2023.csv,,,,,,,,,,,,,89012388-6,2023-08-30,INSUMO007,,,,,,,,,,,,,,,,,,
,,,,,,,insumos_recibidos_2023.csv,,,,,,,,,,,,,12345611-9,2023-01-15,INSUMO001,,,,,,,,,,,,,,,,,,
,,,,,,,insumos_recibidos_2023.csv,,,,,,,,,,,,,23456722-0,2023-02-20,INSUMO002,,,,,,,,,,,,,,,,,,
,,,,,,,insumos_recibidos_2023.csv,,,,,,,,,,,,,34567833-1,2023-03-10,INSUMO003,,,,,,,,,,,,,,,,,,
,,,,,,,insumos_recibidos_2023.csv,,,,,,,,,,,,,45678944-2,2023-04-05,INSUMO004,,,,,,,,,,,,,,,,,,
,,,,,,,insumos_recibidos_2023.csv,,,,,,,,,,,,,56789055-3,2023-05-12,INSUMO005,,,,,,,,,,,,,,,,,,
,,,,,,,insumos_recibidos_2023.csv,,,,,,,,,,,,,67890166-4,2023-06-18,INSUMO006,,,,,,,,,,,,,,,,,,
,,,,,,,insumos_recibidos_2023.csv,,,,,,,,,,,,,78901277-5,2023-07-25,INSUMO007,,,,,,,,,,,,,,,,,,
,,,,,,,insumos_recibidos_2023.csv,,,,,,,,,,,,,89012388-6,2023-08-30,INSUMO008,,,,,,,,,,,,,,,,,,
,,,,,,,insumos_recibidos_2023.csv,,,,,,,,,,,,,90123499-7,2023-09-15,INSUMO009,,,,,,,,,,,,,,,,,,
,,,,,,,insumos_recibidos_2023.csv,,,,,,,,,,,,,01234500-8,2023-10-22,INSUMO010,,,,,,,,,,,,,,,,,,
,,,,,,,insumos_recibidos_2023.csv,,,,,,,,,,,,,78901277-5,2023-10-21,INSUMO007,,,,,,,,,,,,,,,,,,
,,,,,,,productos.csv,,,,,,,,,,,,,,,INSUMO001,Analgesico,100.0,15.5,,,,,,,,,,,,,,,
,,,,,,,productos.csv,,,,,,,,,,,,,,,INSUMO002,Antibiótico,80.0,25.0,,,,,,,,,,,,,,,
,,,,,,,productos.csv,,,,,,,,,,,,,,,INSUMO003,gerdex,15.0,10.75,,,,,,,,,,,,,,,
,,,,,,,productos.csv,,,,,,,,,,,,,,,INSUMO004,Termómetro Digital,75.0,30.0,,,,,,,,,,,,,,,
,,,,,,,productos.csv,,,,,,,,,,,,,,,INSUMO005,Guantes de Látex,500.0,5.0,,,,,,,,,,,,,,,
,,,,,,,productos.csv,,,,,,,,,,,,,,,INSUMO006,Mascarillas Quirúrgicas,300.0,1.5,,,,,,,,,,,,,,,
,,,,,,,productos.csv,,,,,,,,,,,,,,,INSUMO007,Jeringas Desechables,150.0,0.75,,,,,,,,,,,,,,,
,,,,,,,productos.csv,,,,,,,,,,,,,,,INSUMO008,Tiras Reactivas,80.0,20.0,,,,,,,,,,,,,,,
,,,,,,,productos.csv,,,,,,,,,,,,,,,INSUMO009,Sueros Hidratantes,60.0,12.0,,,,,,,,,,,,,,,
,,,,,,,productos.csv,,,,,,,,,,,,,,,INSUMO010,Vendas Adhesivas,250.0,2.5,,,,,,,,,,,,,,,
,,,,,,,productosmasvendidos.csv,,,,,,,,,,,,,,,,,,,INSUMO002,Antibiótico,22.0,775.5,,,,,,,,,,,
,,,,,,,productosmasvendidos.csv,,,,,,,,,,,,,,,,,,,INSUMO003,gerdex,12.0,407.5,,,,,,,,,,,
,,,,,,,productosmasvendidos.csv,,,,,,,,,,,,,,,,,,,INSUMO004,Termómetro Digital,10.0,750.0,,,,,,,,,,,
,,,,,,,productosmasvendidos.csv,,,,,,,,,,,,,,,,,,,INSUMO009,Sueros Hidratantes,10.0,900.0,,,,,,,,,,,
,,,,,,,productosmasvendidos.csv,,,,,,,,,,,,,,,,,,,INSUMO008,Tiras Reactivas,9.0,1113.0,,,,,,,,,,,
,,,,,,,productosmasvendidos.csv,,,,,,,,,,,,,,,,,,,INSUMO007,Jeringas Desechables,8.0,704.5,,,,,,,,,,,
,,,,,,,productosmasvendidos.csv,,,,,,,,,,,,,,,,,,,INSUMO005,Guantes de Látex,6.0,30.0,,,,,,,,,,,
,,,,,,,productosmasvendidos.csv,,,,,,,,,,,,,,,,,,,INSUMO001,Analgesico,4.0,600.0,,,,,,,,,,,
,,,,,,,productosmasvendidos.csv,,,,,,,,,,,,,,,,,,,INSUMO006,Mascarillas Quirúrgicas,4.0,6.0,,,,,,,,,,,
,,,,,,,productosmasvendidos.csv,,,,,,,,,,,,,,,,,,,INSUMO010,Vendas Adhesivas,1.0,600.0,,,,,,,,,,,
,,,,,,,productosvendidospormes.csv,,,,,,,,,,,,,,,,,,,INSUMO009,,,540.0,6.0,2022.0,Sueros Hidratantes,6.0,,,,,,,
,,,,,,,productosvendidospormes.csv,,,,,,,,,,,,,,,,,,,INSUMO010,,,600.0,6.0,2022.0,Vendas Adhesivas,1.0,,,,,,,
,,,,,,,productosvendidospormes.csv,,,,,,,,,,,,,,,,,,,INSUMO008,,,526.5,8.0,2022.0,Tiras Reactivas,3.0,,,,,,,
,,,,,,,productosvendidospormes.csv,,,,,,,,,,,,,,,,,,,INSUMO007,,,700.0,3.0,2023.0,Jeringas Desechables,2.0,,,,,,,
,,,,,,,productosvendidospormes.csv,,,,,,,,,,,,,,,,,,,INSUMO006,,,6.0,4.0,2023.0,Mascarillas Quirúrgicas,4.0,,,,,,,
,,,,,,,productosvendidospormes.csv,,,,,,,,,,,,,,,,,,,INSUMO005,,,5.0,4.0,2023.0,Guantes de Látex,1.0,,,,,,,
,,,,,,,productosvendidospormes.csv,,,,,,,,,,,,,,,,,,,INSUMO005,,,5.0,7.0,2023.0,Guantes de Látex,1.0,,,,,,,
,,,,,,,productosvendidospormes.csv,,,,,,,,,,,,,,,,,,,INSUMO002,,,25.0,9.0,2023.0,Antibiótico,1.0,,,,,,,
,,,,,,,productosvendidospormes.csv,,,,,,,,,,,,,,,,,,,INSUMO004,,,600.0,11.0,2023.0,Termómetro Digital,5.0,,,,,,,
,,,,,,,productosvendidospormes.csv,,,,,,,,,,,,,,,,,,,INSUMO005,,,10.0,11.0,2023.0,Guantes de Látex,2.0,,,,,,,
,,,,,,,productosvendidospormes.csv,,,,,,,,,,,,,,,,,,,INSUMO003,,,32.25,1.0,2024.0,gerdex,3.0,,,,,,,
,,,,,,,productosvendidospormes.csv,,,,,,,,,,,,,,,,,,,INSUMO003,,,75.25,2.0,2024.0,gerdex,7.0,,,,,,,
,,,,,,,productosvendidospormes.csv,,,,,,,,,,,,,,,,,,,INSUMO002,,,250.5,2.0,2024.0,Antibiótico,1.0,,,,,,,
,,,,,,,productosvendidospormes.csv,,,,,,,,,,,,,,,,,,,INSUMO001,,,600.0,3.0,2024.0,Analgesico,4.0,,,,,,,
,,,,,,,productosvendidospormes.csv,,,,,,,,,,,,,,,,,,,INSUMO003,,,300.0,3.0,2024.0,gerdex,2.0,,,,,,,
,,,,,,,productosvendidospormes.csv,,,,,,,,,,,,,,,,,,,INSUMO005,,,10.0,4.0,2024.0,Guantes de Látex,2.0,,,,,,,
,,,,,,,productosvendidospormes.csv,,,,,,,,,,,,,,,,,,,INSUMO008,,,526.5,5.0,2024.0,Tiras Reactivas,3.0,,,,,,,
,,,,,,,productosvendidospormes.csv,,,,,,,,,,,,,,,,,,,INSUMO009,,,360.0,6.0,2024.0,Sueros Hidratantes,4.0,,,,,,,
,,,,,,,productosvendidospormes.csv,,,,,,,,,,,,,,,,,,,INSUMO008,,,60.0,6.0,2024.0,Tiras Reactivas,3.0,,,,,,,
,,,,,,,productosvendidospormes.csv,,,,,,,,,,,,,,,,,,,INSUMO007,,,4.5,7.0,2024.0,Jeringas Desechables,6.0,,,,,,,
,,,,,,,productosvendidospormes.csv,,,,,,,,,,,,,,,,,,,INSUMO004,,,150.0,9.0,2024.0,Termómetro Digital,5.0,,,,,,,
,,,,,,,productosvendidospormes.csv,,,,,,,,,,,,,,,,,,,INSUMO002,,,500.0,12.0,2024.0,Antibiótico,20.0,,,,,,,
,,,,,,,proveedor.csv,01234500-8,,,991234567.0,contacto@saludybienestar.cl,,,,,,,,,,,,,,,,,,,,,,Salud y Bienestar,"Paseo Médico 468, Osorno",,,,,
,,,,,,,proveedor.csv,12345611-9,,,987654321.0,contacto@medinsumos.cl,,,,,,,,,,,,,,,,,,,,,,MedInsumos S.A.,"Av. Salud 123, Santiago",,,,,
,,,,,,,proveedor.csv,23456722-0,,,912345678.0,info@farmaciasaludable.cl,,,,,,,,,,,,,,,,,,,,,,Farmacia Saludable,"Calle Bienestar 456, Valparaíso",,,,,
,,,,,,,proveedor.csv,34567833-1,,,934567890.0,ventas@insumosmedicos.cl,,,,,,,,,,,,,,,,,,,,,,Insumos Médicos Ltda.,"Ruta Médica 789, Concepción",,,,,
,,,,,,,proveedor.csv,45678944-2,,,945678901.0,contacto@saludyvida.cl,,,,,,,,,,,,,,,,,,,,,,Salud y Vida,"Paseo Salud 321, La Serena",,,,,
,,,,,,,proveedor.csv,56789055-3,,,956789012.0,info@medicinapro.cl,,,,,,,,,,,,,,,,,,,,,,Medicina Pro,"Calle Sanitaria 654, Temuco",,,,,
,,,,,,,proveedor.csv,67890166-4,,,967890123.0,ventas@proveedoresmedicos.cl,,,,,,,,,,,,,,,,,,,,,,Proveedores Médicos,"Av. Clínica 987, Antofagasta",,,,,
,,,,,,,proveedor.csv,78901277-5,,,978901234.0,contacto@saludintegral.cl,,,,,,,,,,,,,,,,,,,,,,Salud Integral,"Calle Bienestar 135, Iquique",,,,,
,,,,,,,proveedor.csv,89012388-6,,,989012345.0,info@insumosvitales.cl,,,,,,,,,,,,,,,,,,,,,,Insumos Vitales,"Av. Vital 246, Rancagua",,,,,
,,,,,,,proveedor.csv,90123499-7,,,990123456.0,ventas@medicamentosymas.cl,,,,,,,,,,,,,,,,,,,,,,Medicamentos y Más,"Calle Medicinal 357, Puerto Montt",,,,,
,,,,,,,proveedoresmassuministros.csv,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,23456722-0,Farmacia Saludable,,,
,,,,,,,proveedoresmassuministros.csv,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,89012388-6,Insumos Vitales,,,
,,,,,,,proveedoresmassuministros.csv,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,78901277-5,Salud Integral,,,
,,,,,,,proveedoresmassuministros.csv,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,01234500-8,Salud y Bienestar,,,
,,,,,,,proveedoresmassuministros.csv,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,12345611-9,MedInsumos S.A.,,,
,,,,,,,proveedoresmassuministros.csv,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,34567833-1,Insumos Médicos Ltda.,,,
,,,,,,,proveedoresmassuministros.csv,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,45678944-2,Salud y Vida,,,
,,,,,,,proveedoresmassuministros.csv,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,56789055-3,Medicina Pro,,,
,,,,,,,proveedoresmassuministros.csv,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,67890166-4,Proveedores Médicos,,,
,,,,,,,proveedoresmassuministros.csv,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,90123499-7,Medicamentos y Más,,,
,,,,,,,suministra.csv,,,,,,,,,,,,,89012388-6,2023-08-30,INSUMO007,,,,,,,,,,,,,,,,1.0,,
,,,,,,,suministra.csv,,,,,,,,,,,,,89012388-6,2022-05-13,INSUMO008,,,,,,,,,,,,,,,,2.0,,
,,,,,,,suministra.csv,,,,,,,,,,,,,12345611-9,2023-01-15,INSUMO001,,,,,,,,,,,,,,,,3.0,,
,,,,,,,suministra.csv,,,,,,,,,,,,,23456722-0,2023-02-20,INSUMO002,,,,,,,,,,,,,,,,4.0,,
,,,,,,,suministra.csv,,,,,,,,,,,,,34567833-1,2023-03-10,INSUMO003,,,,,,,,,,,,,,,,5.0,,
,,,,,,,suministra.csv,,,,,,,,,,,,,45678944-2,2023-04-05,INSUMO004,,,,,,,,,,,,,,,,6.0,,
,,,,,,,suministra.csv,,,,,,,,,,,,,56789055-3,2023-05-12,INSUMO005,,,,,,,,,,,,,,,,7.0,,
,,,,,,,suministra.csv,,,,,,,,,,,,,67890166-4,2023-06-18,INSUMO006,,,,,,,,,,,,,,,,8.0,,
,,,,,,,suministra.csv,,,,,,,,,,,,,78901277-5,2023-07-25,INSUMO007,,,,,,,,,,,,,,,,9.0,,
,,,,,,,suministra.csv,,,,,,,,,,,,,89012388-6,2023-08-30,INSUMO008,,,,,,,,,,,,,,,,10.0,,
,,,,,,,suministra.csv,,,,,,,,,,,,,90123499-7,2023-09-15,INSUMO009,,,,,,,,,,,,,,,,11.0,,
,,,,,,,suministra.csv,,,,,,,,,,,,,01234500-8,2023-10-22,INSUMO010,,,,,,,,,,,,,,,,12.0,,
,,,,,,,suministra.csv,,,,,,,,,,,,,78901277-5,2023-10-21,INSUMO007,,,,,,,,,,,,,,,,13.0,,
,,,,,,,suministra.csv,,,,,,,,,,,,,23456722-0,2024-11-01,INSUMO002,,,,,,,,,,,,,,,,14.0,,
,,,,,,,suministra.csv,,,,,,,,,,,,,23456722-0,2024-11-01,INSUMO002,,,,,,,,,,,,,,,,15.0,,
,,,,,,,totalfacturacionanual.csv,,,,,,,,,,,,,,,,,,,,,1666.5,,,2022.0,,,,,,,,,
,,,,,,,totalfacturacionanual.csv,,,,,,,,,,,,,,,,,,,,,1351.0,,,2023.0,,,,,,,,,
,,,,,,,totalfacturacionanual.csv,,,,,,,,,,,,,,,,,,,,,2869.0,,,2024.0,,,,,,,,,
,,,,,,,totalfacturasporvendedor.csv,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,12345678-1,Pedro González
,,,,,,,totalfacturasporvendedor.csv,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,23456789-2,Ana Martínez
,,,,,,,totalfacturasporvendedor.csv,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,34567890-3,Luis Pérez
,,,,,,,totalfacturasporvendedor.csv,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,45678901-4,Sofía López
,,,,,,,totalfacturasporvendedor.csv,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,56789012-5,Javier Ramírez
,,,,,,,totalfacturasporvendedor.csv,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,67890123-6,Claudia Torres
,,,,,,,vendedores.csv,12345678-1,Pedro,González,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,vendedores.csv,23456789-2,Ana,Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,vendedores.csv,34567890-3,Luis,Pérez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,vendedores.csv,45678901-4,Sofía,López,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,vendedores.csv,56789012-5,Javier,Ramírez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,vendedores.csv,67890123-6,Claudia,Torres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,vista_productos_rango_precio.csv,,,,,,,,,,,,,,,INSUMO001,Analgesico,,15.5,,,,,,,,,,,,,,,
,,,,,,,vista_productos_rango_precio.csv,,,,,,,,,,,,,,,INSUMO002,Antibiótico,,25.0,,,,,,,,,,,,,,,
,,,,,,,vista_productos_rango_precio.csv,,,,,,,,,,,,,,,INSUMO003,gerdex,,10.75,,,,,,,,,,,,,,,
,,,,,,,vista_productos_rango_precio.csv,,,,,,,,,,,,,,,INSUMO004,Termómetro Digital,,30.0,,,,,,,,,,,,,,,
,,,,,,,vista_productos_rango_precio.csv,,,,,,,,,,,,,,,INSUMO005,Guantes de Látex,,5.0,,,,,,,,,,,,,,,
,,,,,,,vista_productos_rango_precio.csv,,,,,,,,,,,,,,,INSUMO006,Mascarillas Quirúrgicas,,1.5,,,,,,,,,,,,,,,
,,,,,,,vista_productos_rango_precio.csv,,,,,,,,,,,,,,,INSUMO007,Jeringas Desechables,,0.75,,,,,,,,,,,,,,,
,,,,,,,vista_productos_rango_precio.csv,,,,,,,,,,,,,,,INSUMO008,Tiras Reactivas,,20.0,,,,,,,,,,,,,,,
,,,,,,,vista_productos_rango_precio.csv,,,,,,,,,,,,,,,INSUMO009,Sueros Hidratantes,,12.0,,,,,,,,,,,,,,,
,,,,,,,vista_productos_rango_precio.csv,,,,,,,,,,,,,,,INSUMO010,Vendas Adhesivas,,2.5,,,,,,,,,,,,,,,
